Kopfzeilen START
Beginn;23.07.2019 19:55:19;2019;07;23;19;55
Auftrag;20150930;6000;333961
Rezept;23032018 test rz;K1.1-1.2
Vordruck;97,33849
Ofentemp;722;720
Gewicht;53
Bediener;G01 D;2
D:\_ReportLocal\
D:\_ReportExtern\
K01;K02;K03;K04;K05;K06;K07;K08;K09;K10;K11;K12;K13;K14;K15;K16;K17;K18;K19;K20;K21;K22;K23;K24;K25;K26;K27;K28;K29;K30;K31;K32
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
K33;K34;K35;K36;K37;K38;K39;K40;K41;K42;K43;K44;K45;K46;K47;K48;K49;K50;K51;K52;K53;K54;K55;K56;K57;K58;K59;K60;K61;K62;K63;K64
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;502;
Kopfzeilen ENDE
Fusszeilen START
Dauer;Leerfahren;Schlichten;Roboter;Siebe
Ende;23.07.2019 20:03:09;Wahr;Falsch;Falsch;Falsch;Falsch
Menge[kg];1166
AuftragSoll;6000
AuftragIst;35
ChargeSoll;40
ChargeIst;27;DMC#1:19302209026?0102;DMC#2:19302209026?0102;Falsch
ZyklusBrutto[sek];599,6006
ZyklusNetto[sek];413,516;347,412
K01;K02;K03;K04;K05;K06;K07;K08;K09;K10;K11;K12;K13;K14;K15;K16;K17;K18;K19;K20;K21;K22;K23;K24;K25;K26;K27;K28;K29;K30;K31;K32;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
K33;K34;K35;K36;K37;K38;K39;K40;K41;K42;K43;K44;K45;K46;K47;K48;K49;K50;K51;K52;K53;K54;K55;K56;K57;K58;K59;K60;K61;K62;K63;K64;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
25699;54924;23145;45852;21976;58637;9238;49394;13549;16907;42199;42313;46485;65312;19553;47383;25699;54924;23145;45852;21976;58637;9238;49394;13549;0;16907;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
10780;10780;9032;10780;9032;7716;8046;8046;9032;9031;8045;8045;10780;9031;8045;10780;10780;10780;9032;10780;9032;7716;8046;8046;9032;0;9031;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S00;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S14;S14;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
S15;S15;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Fusszeilen ENDE
Zeittakt
[ms];1000
0;97,33849;97,56945;94,3287;0;0,2309647;8,263389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;271;72;69;0;0;0;69;0;0;0;0;0;0;0;0;0;0;0;721,7;750,7;0,01;0;1,24;0,03;0;0;0;0;0;0;0,01;0,02;0,02;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;
1;98,53848;97,51157;94,15509;1,199997;0,1730881;8,435334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;271;72;69;0;0;0;69;0;0;0;0;0;0;0;0;0;0;0;721,6;750,7;0,01;0;1,24;0,02;0;0;0;0;0,01;0;0;0,01;0,02;0;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;
2;110,5385;98,66898;94,67593;13,2;1,330498;10,0256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;271;72;70;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;721,6;750,6;0,01;0;1,24;0,03;0;0,01;0;0,01;0,01;0,01;0;0,02;0,01;0;0,01;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;
3;122,5385;105,6134;102,7199;25,2;8,27494;11,25063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;271;72;69;0;0;0;69;0;0;0;0;0;0;0;0;0;0;0;721,6;750,6;0,01;0;1,23;0,02;0;0,01;0;0;0;0,01;0;0,02;0,02;0;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89;
4;134,5385;114,294;110,5324;37,2;16,9555;12,0422;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;271;72;69;0;0;0;69;0;0;0;0;0;0;0;0;0;0;0;721,6;750,5;0,01;0;1,24;0,03;0;0,02;0;0;0;0;0,01;0,03;0,02;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;
5;146,5385;125,5787;121,2384;49,19998;28,24022;13,08639;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;271;73;70;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;721,6;750,6;0,01;0;1,23;0,03;0;0,01;0;0,01;0,02;0,01;0,01;0,02;0,02;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109;
6;158,5385;135,7639;132,7546;61,19997;38,4254;13,74978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;271;73;70;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;721,6;750,5;0,01;0;1,24;0,02;0;0,01;0;0;0,01;0,01;0;0,02;0,01;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119;
7;170,5385;147,3958;144,2708;73,19997;50,05734;14,73865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;73;70;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;721,6;750,6;0;0;1,24;0,02;0;0,01;0;0;0,02;0,01;0,01;0,02;0,03;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129;
8;182,5384;159,7801;155,9606;85,19994;62,4416;15,29307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;73;70;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;721,7;750,5;0,01;0;1,23;0,03;0;0,01;0,01;0;0,02;0,01;0;0,01;0,01;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;
9;194,5384;171,412;168,3449;97,19994;74,07355;16,00002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;73;70;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;721,7;750,6;0,01;0;1,23;0,02;0;0,02;0;0;0,02;0;0;0,01;0,02;0;0,03;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149;
10;206,5385;183,1597;179,919;109,2;85,82124;16,75201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;73;70;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;721,7;750,6;0,01;0,01;1,23;0,03;0;0,02;0;0,01;0,02;0,01;0;0,02;0,02;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159;
11;217,8885;195,1968;191,6667;120,55;97,85828;17,46058;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;73;70;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;721,7;750,6;0,01;0;1,26;0,03;0;0,02;0;0;0,02;0,01;0;0,02;0,02;0;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;169;
12;223,3885;206,5972;202,5463;126,05;109,2587;17,25615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;73;70;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;721,7;750,5;0,01;0;1,27;0,03;0;0,02;0;0;0,01;0;0,01;0,03;0,02;0;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;179;
13;228,8885;214,9306;211,169;131,55;117,5921;17,25157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;73;70;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;721,6;750,5;0;0;1,24;0,02;0;0,01;0;0;0,02;0,01;0,01;0,03;0,01;0;0,01;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;189;
14;234,3886;222,2222;218,287;137,0501;124,8837;17,45526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;73;70;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;721,7;750,5;0,01;0;1,25;0,03;0;0,02;0,01;0;0,01;0;0;0,02;0,03;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;199;
15;239,8886;228,4722;225,6366;142,5501;131,1337;17,51898;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;74;70;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;721,7;750,5;0;0;1,24;0,03;0;0;0;0;0,02;0,01;0;0,01;0,03;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;209;
16;245,3886;233,4491;230,0926;148,0501;136,1106;18,0654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;74;71;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;721,7;750,5;0,01;0;1,24;0,03;0;0;0;0;0,01;0,01;0;0,01;0,01;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;219;
17;250,8886;238,7731;234,6644;153,5501;141,4347;18,3427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;74;71;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;721,6;750,5;0,02;0;1,25;0,02;0;0,02;0;0;0,02;0,01;0,01;0,02;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;229;
